Country (Name),FAOSTAT group (Name),Element (Name),Unit (Name),[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S
Madagascar,Aquatic animals nei,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,292,,304,,396,,792,,508,,0,...,0,...,0,...,0,...,0,...,0,...,190,,370,,350,,630,,1800,,1290,,1360,,2150,,1260,,1110,,640,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,40.38,,14,,8,,96,,255,
Madagascar,Aquatic animals nei,Food imports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Aquatic animals nei,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Aquatic animals nei,Production,Tonnes - live weight,0,...,0,...,0,...,900,,900,,900,,900,,900,,900,,900,,900,,0,...,0,...,0,...,300,,0,...,330,,420,,360,,213,,150,,83,,64,,231,,105,,132,,201,,384,,360,,634,,1825,,1294,,1370,,5400,,5400,,5400,,5400,,1446,,1500,,1500,,1500,,500,,500,,600,,700,,821,,836,,851,,866,,881,,891,,700,,2562,,2122,,1623,,571,,1021,
Madagascar,Aquatic animals nei,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-800,,-800,,0,...,0,...,0,...,-200,,400,,200,,200,,600,,400,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Aquatic animals nei,Total food supply,Tonnes - live weight,0,...,0,...,0,...,900,,900,,900,,900,,900,,900,,100,,100,,0,...,0,...,0,...,100,,108,,226,,224,,168,,105,,150,,83,,64,,231,,105,,132,,11,,14,,10,,4,,25,,4,,10,,3250,,4140,,4290,,4760,,1446,,1500,,1500,,1500,,500,,500,,600,,700,,821,,836,,851,,866,,881,,891,,699,,2521.61,,2108,,1615,,475,,766,
Madagascar,Cephalopods,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,,23,,83,,91,,174,,218,,144,,335,,498,,350,,424,,186,,542,,487,,339,,212,,218,,324,,467,,233,,1067,,1193,,1051,,1431,,940,,1182,,1138.33,,895,,866.5,,1219.25,
Madagascar,Cephalopods,Food imports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7,,13,,18,,16,,102,,18,,8,,17,,24,,26,,0,...,5,,1,
Madagascar,Cephalopods,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Cephalopods,Production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,20,,60,,90,,160,,180,,220,,200,,350,,500,,500,,550,,600,,550,,600,,600,,700,,800,,900,,1000,,1150,,1300,,1450,,1520,,1665,,6206,,1689,,2630,,1483,,2013,,3784,
Madagascar,Cephalopods,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-150,,150,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Cephalopods,Total food supply,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,15,,37,,7,,69,,6,,2,,56,,15,,2,,150,,126,,264,,158,,113,,261,,488,,582,,583,,546,,935,,249,,359,,487,,242,,5283,,531,,1517.67,,588,,1151.5,,2565.75,
Madagascar,Crustaceans,Food exports,Tonnes - live weight,0,...,0,...,0,...,100,,100,,200,,1000,,1100,,1300,,2100,,2800,,3500,,3200,,3500,,3474,,3129,,4161,,3269,,3269,,3254,,3209,,3942,,3591,,3984,,4404,,4476,,6334,,5367,,5696,,6647,,7395,,5454,,7957,,8720,,8442,,8457,,8607,,2690,,1542,,2180,,12983,,16137,,6837,,8406,,13261,,12854,,14671,,11678,,9689,,7868,,10858,,7492,,8266,,10477,,7149,,9430,,15814,
Madagascar,Crustaceans,Food imports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,68,,0,...,260,,8,,0,...,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,0,...,0,...,17,,0,...,4,,9,,38,,1,,4,,4,,887.57,,153,,229,,128,,12,,39,,231,,54,,29,,4,,29,,12,,30,
Madagascar,Crustaceans,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Crustaceans,Production,Tonnes - live weight,0,...,0,...,0,...,700,,500,,1500,,1200,,1700,,2400,,3700,,4400,,5200,,5300,,5200,,5700,,6150,,6860,,6300,,5655,,5471,,5595,,5719,,6066,,7124,,7233,,8084,,9884,,8881,,8646,,10705,,11632,,10872,,11102,,14377,,13144,,14285,,14622,,15803,,15199,,18286,,18881,,22381,,22266,,19388,,18085,,19995,,26816,,16508,,13607,,12900,,13744,,17954,,23341,,19904,,19139,,21942,,32210,
Madagascar,Crustaceans,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-1300,,100,,0,...,600,,600,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-400,,0,...,400,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Crustaceans,Total food supply,Tonnes - live weight,0,...,0,...,0,...,600,,400,,1300,,200,,600,,1100,,1600,,1600,,1700,,2100,,1700,,2226,,1721,,2799,,3031,,2986,,2821,,2454,,1777,,2735,,3148,,2829,,3609,,3550,,3514,,2950,,4058,,4237,,5418,,3145,,5661,,4702,,5828,,6032,,13113,,13661,,16115,,5936,,6245,,15433,,10986,,5311.57,,7294,,12774,,4958,,3930,,5071,,3117,,10516,,15104,,9431,,12019,,12524,,16426,
Madagascar,Demersal fish,Food exports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,202.5,,162.5,,268.5,,212.5,,125.93,,123,,0,...,0,...,0,...,0,...,0,...,3,,14,,12,,7,,15,,29,,24,,17,,19,,11,,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,192,,282,,480,,141,,426,,497,,429,,257,,29,,99,
Madagascar,Demersal fish,Food imports,Tonnes - live weight,303.03,,303.03,,303.03,,303.03,,303.03,,250,,0,...,250,,250,,0,...,250,,0,...,0,...,0,...,37.5,,0,...,12.5,,65,,92.5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,91.25,,0,...,0,...,0,...,2,,0,...,0,...,718.75,,43,,22,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.25,,18,,29,,38.25,,0,...,0,...,0,...,0,...,0,...,3,
Madagascar,Demersal fish,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Demersal fish,Production,Tonnes - live weight,1075,,1121,,1167,,215,,1263,,7313,,7395,,7477,,7561,,7675,,7790,,7621,,8449,,8775,,8602,,9270,,9541,,8410,,8314,,8939,,8621,,7560,,3381,,3758,,4141,,4394,,4860,,5013,,4834,,5156,,5411,,5969,,5824,,6258,,5257,,5829,,5809,,5788,,5756,,5736,,5735,,5730,,5728,,5725,,5726,,5717,,5668,,5616,,5616,,5699,,5670,,5665,,5650,,5660,,5654,,5651,,5639,
Madagascar,Demersal fish,Stock variations,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Demersal fish,Total food supply,Tonnes - live weight,1378.03,,1424.03,,1470.03,,518.03,,1566.03,,7563,,7395,,7727,,7811,,7675,,8040,,7621,,8449,,8775,,8639.5,,9067.5,,9391,,8206.5,,8194,,8813.07,,8498,,7560,,3381,,3758,,4141,,4394,,4857,,4999,,4822,,5240.25,,5396,,5940,,5800,,6243,,5238,,5818,,6526.75,,5831,,5778,,5736,,5735,,5730,,5728,,5725,,5726,,5717,,5668,,5430.25,,5352,,5248,,5567.25,,5239,,5153,,5231,,5397,,5622,,5543,
Madagascar,Freshwater & diadromous fish,Food exports,Tonnes - live weight,252.94,,355.56,,352.38,,353.85,,254.17,,552,,450,,803.23,,552.17,,550,,452,,450,,510,,635.96,,1704.2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6,,10,,18,,9,,11,,12,,9,,120,,75.4,,298.09,,688.23,,192.83,,190.6,,338.39,,402.38,,140.82,,67.75,,46.71,,48.57,,63,,74.8,,99.57,,168.6,,164.32,,86.9,,106.5,,79.5,
Madagascar,Freshwater & diadromous fish,Food imports,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6.11,,0,...,0,...,2.86,,0,...,1,,9.25,,4.4,,12.73,,5.93,,11.65,,32.82,,12.97,,24.97,,14.51,,45.93,,25.71,,16.82,,16.79,,23.36,,25.78,,37.65,,36.65,
Madagascar,Freshwater & diadromous fish,Non-food uses,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
