Country (Name),ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Madagascar,Albacore,"Indian Ocean, Eastern",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Madagascar,Albacore,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,,0,,67,,27,,33,,25,,24,,86,,61,,50,,73,,54,,73,,80,,39,,21,,25,
Madagascar,Bigeye tuna,"Indian Ocean, Eastern",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Madagascar,Bigeye tuna,"Indian Ocean, Western",Capture production,Tonnes - live weight,2,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,4,,5,,5,,5,,5,,5,,7,,7,,8,,10,,11,,12,,13,,15,,13,,13,,14,,14,,14,,15,,15,,16,,17,,18,,19,,20,,21,,21,,21,,22,,23,,22,,24,,26,,24,,25,,26,,26,,24,,26,,26,,26,,28,,26,,164,,56,,57,,48,,49,,109,,93,,103,,105,,103,,100,,83,,57,,45,,54,
Madagascar,Black marlin,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,,0,,18,,7,,13,,0,...,0,...,0,,0,N,0,,0,...,0,...
Madagascar,Blue marlin,"Indian Ocean, Eastern",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Madagascar,Blue marlin,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Madagascar,Blue shark,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,35,,45,,39,,36,,24,,17,,25,
Madagascar,Brine shrimp,"Indian Ocean, Western",Aquaculture production (marine),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Cephalopods nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20,,60,,90,,160,,180,,200,,200,,350,,500,,500,,550,,600,,600,E,600,E,600,E,700,E,800,E,900,E,1000,,1150,E,1300,E,1450,E,1600,E,1765,,6206,,1739,,2790,,1483,,2013,,3784,,8098,,9905,
Madagascar,Cichlids nei,Africa - Inland waters,Capture production,Tonnes - live weight,8000,,8000,,8000,,9000,,9000,,10000,,10000,,13000,,13000,,14000,,14000,,15000,,15000,,15000,,20000,,19000,,20000,,22000,,22000,,18000,,20000,,20000,,21000,,21600,,22300,,23000,,23000,,23000,,23000,,23000,,22837,,23100,,22500,E,21600,,19396,,20296,,23844,,23842,,23838,,18000,,18000,,18000,,18000,,21100,,21500,,21600,,21500,E,21500,E,21500,E,21500,E,21500,E,21500,E,21500,E,21500,E,22500,E,22800,E,22150,E,21330,E,20580,E,19828,E,20200,E,16500,E,10100,E,7600,E,8270,E,8953,,9546,,9470,,2372,,1061,
Madagascar,Common carp,Africa - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,E,9,E,13,E,27,E,53,E,92,E,123,E,159,E,186,,210,,145,,156,,187,,190,E,230,,160,,1585,,1499,,2887,,3177,,2650,,6105,,2011,,2325,E,2480,E,2350,,2400,,2450,,2550,,2650,,2750,,2800,E,2800,E,2800,E,2800,E,3350,,3540,,2600,E,2600,E,2600,,2800,,3510,,36.99,,12.25,
Madagascar,Common dolphinfish,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,4,,5,,5,,4,,53,,72,,65,,0,...,1,,7,,2,,0,,0,,0,...
Madagascar,Cyprinids nei,Africa - Inland waters,Capture production,Tonnes - live weight,3000,,3000,,3000,,4000,,4000,,5000,,5000,,4000,,4000,,4000,,5000,,5000,,6000,,8000,,10000,,10000,,10000,,11000,,12000,,10000,,10000,,11900,,12000,,12500,,13000,,13000,,13000,,13000,,13000,,13000,,10277,,9620,,9400,E,9200,,9044,,9480,,11215,,11204,,11173,,8390,,8800,,6700,,6000,,5100,,4313,,4123,,4000,E,4000,E,4000,E,4000,E,4000,E,4000,E,4000,E,4000,E,4000,E,4050,E,4000,E,3900,E,3850,E,3800,E,4100,E,3500,E,2216,E,1700,E,2200,E,2700,,2800,,3510,,2600,E,2600,E
Madagascar,Demersal percomorphs nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6000,,6000,,6000,,6000,,6000,,6000,,5800,,6600,,6900,,6700,,7300,,7500,,6300,,6100,,6615,,6000,E,4557,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Madagascar,Eucheuma seaweeds nei,"Indian Ocean, Western",Aquaculture production (marine),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1025,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,700,E,700,E,700,E,800,E,800,E,900,E,5300,,3650,,3650,,3600,,4000,E,1699,,1400,,3575,,6970,,15377,,17423,,17407.2,,5337,,8864.59,
Madagascar,Freshwater fishes nei,Africa - Inland waters,Aquaculture production (freshwater),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,E,10,E,15,E
Madagascar,Freshwater fishes nei,Africa - Inland waters,Capture production,Tonnes - live weight,4000,,4000,,4000,,5000,,5000,,5000,,5000,,5000,,5500,,5500,,5000,,5000,,6000,,8900,,9000,,7000,,7000,,8000,,11800,,5900,,5100,,5000,,5000,,5000,,5000,,5500,,5500,,5500,,5500,,5500,,4850,,5780,,5100,E,4500,,3870,,4060,,4760,,4760,,4760,,3595,,3160,,2800,,3500,,3800,,4187,,4277,,4500,E,4500,E,4500,E,4500,E,4500,E,4500,E,4500,E,4500,E,5000,E,5800,E,6600,E,7400,E,8200,E,9200,E,11200,E,10831,,14684,,13863,,11530,,14287,,18115,,23013,,12898,,10877,
Madagascar,Frigate and bullet tunas,"Indian Ocean, Western",Capture production,Tonnes - live weight,82,,87,,92,,97,,103,,110,,115,,121,,124,,132,,140,,146,,152,,159,,165,,172,,178,,185,,194,,204,,213,,223,,224,,222,,222,,234,,245,,251,,261,,277,,290,,304,,318,,334,,348,,362,,371,,352,,136,,140,,464,,437,,504,,522,,545,,479,,745,,577,,557,,470,,471,,529,,557,,322,,698,,518,,409,,446,,375,,359,,359,,360,,360,,360,,360,,360,,360,,360,,360,,360,
Madagascar,Giant tiger prawn,"Indian Ocean, Western",Aquaculture production (brackishwater),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,10,E,38,,30,,790,,408,,1535,,2425,,2477,,2492,,3486,,4800,,5399,,7313,,7007,,6243,,6726,,8463,,8457,,8000,,3260,,4000,E,5405,,4951.5,,5362,,4691,,3447,,4139,,5439,,4947.05,,4307.56,
Madagascar,Indo-Pacific king mackerel,"Indian Ocean, Western",Capture production,Tonnes - live weight,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,4,,4,,4,,4,,3,,6,,15,,16,,7,,12,,101,,107,,100,,119,,106,,144,,128,,78,,62,,40,,41,,26,,43,,49,,42,,77,,103,,99,,99,,99,,99,,99,,99,,99,,99,,99,,99,,99,
Madagascar,Indo-Pacific sailfish,"Indian Ocean, Western",Capture production,Tonnes - live weight,54,,57,,61,,64,,68,,72,,76,,80,,81,,87,,92,,96,,100,,104,,109,,113,,117,,122,,128,,134,,140,,147,,147,,146,,146,,154,,161,,165,,172,,183,,191,,200,,210,,219,,228,,238,,225,,250,,371,,460,,380,,453,,353,,333,,390,,434,,426,,802,,526,,585,,694,,785,,835,,759,,856,,925,,913,,798,,880,,843,,844,,844,,845,,849,,883,,845,,844,,843,,843,,843,
Madagascar,Indo-Pacific swamp crab,"Indian Ocean, Western",Aquaculture production (brackishwater),Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,0,...,0,...,0,...,0,...
Madagascar,Kawakawa,"Indian Ocean, Western",Capture production,Tonnes - live weight,294,,312,,331,,351,,370,,391,,412,,433,,444,,472,,501,,523,,545,,568,,591,,615,,639,,664,,696,,731,,762,,801,,803,,797,,794,,839,,879,,900,,935,,996,,1040,,1092,,1142,,1195,,1245,,1296,,1115,,1472,,708,,625,,1594,,1445,,1791,,1929,,1384,,1666,,1634,,1435,,1576,,1169,,1046,,1025,,1167,,958,,1310,,1340,,1103,,1150,,1123,,1077,,1077,,1077,,1077,,1077,,1077,,1077,,1077,,1077,,1077,,1077,
Madagascar,Longtail tuna,"Indian Ocean, Western",Capture production,Tonnes - live weight,149,,158,,167,,177,,187,,198,,208,,219,,224,,239,,253,,264,,276,,287,,299,,311,,323,,336,,352,,369,,385,,405,,406,,403,,401,,424,,444,,455,,473,,503,,526,,552,,577,,604,,629,,655,,697,,611,,755,,749,,581,,579,,541,,519,,623,,942,,868,,669,,592,,706,,402,,427,,531,,622,,538,,524,,495,,936,,755,,724,,724,,724,,724,,724,,724,,724,,724,,724,,724,,724,
Madagascar,Marine crabs nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,200,,200,,200,,200,,200,,300,,300,,300,,200,,200,,300,,400,,600,,550,,660,,680,,504,,460,E,395,,477,,941,,465,,444,,675,,833,,1020,,1200,,960,,849,,1085,,1300,,1300,,1000,,1000,,1500,,868,,1030,,1347,,1400,,1509,,1500,,1525,,1600,,1370,,1370,,2580,,2019,,3700,,2824,,3909,,4515,,4749,,2908,,6018,,6651,,6249,
Madagascar,Marine fishes nei,"Indian Ocean, Western",Capture production,Tonnes - live weight,550,,536,,417,,396,,272,,141,,10,,275,,210,,531,,847,,710,,70,,427,,181,,2534,,4982,,4137,,3690,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3789,E,13073,,18163,,17594,,25637,,31322,,40567,,47439,,50434,,45734,,51916,,59783,,53664,,55934,,53626,,55125,,55692,,60313,,60887,,64192,,69143,,68808,,74546,,71948,,72804,,80053,,62495,,71352,,67135,,69700,E,55680,E,43756,,38343,E,53105,,70938,,73937,,54039,,43135,
